Date,Time,Location,Hab,Giant Petrel,Weddell,Elephant ,Gull,Skua,Chionis,Fur seal
19.12.2021,16:10,Glacier,Glacier,11,51,0,3,0,0,0
19.12.2021,16:10,Glacier beach,Beach,0,2,4,19,0,0,0
19.12.2021,16:10,Godzilla beach,Beach,2,19,0,0,1,0,0
20.12.2021,16:10,Glacier,Glacier,1,67,0,0,0,0,0
20.12.2021,16:10,Glacier beach,Beach,0,4,6,0,0,0,0
20.12.2021,16:10,Godzilla beach,Beach,0,19,0,0,0,0,0
21.12.2021,9:54,Glacier,Glacier,1,71,0,0,0,0,0
21.12.2021,9:54,Glacier beach,Beach,0,4,8,0,0,0,0
21.12.2021,9:54,Godzilla beach,Beach,2,22,1,0,0,0,0
22.12.2021,16:30,Glacier,Glacier,6,78,0,13,4,0,0
22.12.2021,16:30,Glacier beach,Beach,2,6,8,4,0,0,0
22.12.2021,16:30,Godzilla beach,Beach,5,22,2,0,2,0,0
23.12.2021,10:29,Glacier,Glacier,11,71,0,20,1,0,0
23.12.2021,10:29,Glacier beach,Beach,0,0,7,10,3,0,0
23.12.2021,10:29,Godzilla beach,Beach,0,41,0,0,0,0,0
24.12.2021,17:25,Glacier,Glacier,12,95,0,0,0,0,0
24.12.2021,17:25,Glacier beach,Beach,1,2,8,0,0,0,0
24.12.2021,17:25,Godzilla beach,Beach,7,25,0,22,0,0,0
25.12.2021,11:15,Glacier,Glacier,10,87,0,2,0,0,0
25.12.2021,11:15,Glacier beach,Beach,0,2,9,1,0,0,0
25.12.2021,11:15,Godzilla beach,Beach,0,29,1,0,1,0,0
26.12.2021,16:17,Glacier,Glacier,12,114,0,4,0,0,0
26.12.2021,16:17,Glacier beach,Beach,2,2,9,0,0,0,0
26.12.2021,16:17,Godzilla beach,Beach,1,39,1,0,1,0,0
27.12.2021,10:43,Glacier,Glacier,10,85,0,3,0,0,0
27.12.2021,10:43,Glacier beach,Beach,0,1,9,0,0,0,0
27.12.2021,10:43,Godzilla beach,Beach,1,34,1,0,0,0,0
28.12.2021,12:03,Glacier,Glacier,5,102,0,0,0,0,0
28.12.2021,12:03,Glacier beach,Beach,0,4,6,0,0,0,0
28.12.2021,12:03,Godzilla beach,Beach,1,33,0,0,0,0,0
28.12.2021,12:03,Chinstraps Bay,Beach,0,7,1,1,0,4,0
29.12.2021,10:10,Glacier,Glacier,4,92,0,0,1,0,0
29.12.2021,10:10,Glacier beach,Beach,0,3,5,0,1,0,0
29.12.2021,10:10,Godzilla beach,Beach,0,28,1,0,0,0,0
29.12.2021,10:10,North Glacier,Glacier,37,54,0,4,0,0,0
29.12.2021,10:10,North Beach Glacier,Beach,0,19,12,0,1,0,0
30.12.2021,16:03,Glacier,Glacier,18,98,0,17,1,0,0
30.12.2021,16:03,Glacier beach,Beach,3,2,2,0,0,0,0
30.12.2021,16:03,Godzilla beach,Beach,1,24,0,0,0,0,0
31.12.2021,10:29,Glacier,Glacier,10,10,0,3,0,0,0
31.12.2021,10:29,Glacier beach,Beach,0,2,2,0,0,0,0
31.12.2021,10:29,Godzilla beach,Beach,1,28,2,1,0,0,0
01.01.2022,19:29,Glacier,Glacier,26,9,0,1,0,0,0
01.01.2022,19:29,Glacier beach,Beach,0,1,1,0,0,0,0
01.01.2022,19:29,Godzilla beach,Beach,0,1,1,0,0,0,0
02.01.2022,10:10,Glacier,Glacier,19,37,0,0,0,0,0
02.01.2022,10:10,Glacier beach,Beach,0,2,0,0,0,0,0
02.01.2022,10:10,Godzilla beach,Beach,0,4,0,0,0,0,0
03.01.2022,17:44,Glacier,Glacier,1,2,0,0,0,0,0
03.01.2022,17:44,Glacier beach,Beach,5,3,0,0,0,0,0
03.01.2022,17:44,Godzilla beach,Beach,6,1,1,0,0,0,0
04.01.2022,9:04,Glacier,Glacier,8,5,0,0,0,0,0
04.01.2022,9:04,Glacier beach,Beach,0,4,0,0,0,0,0
04.01.2022,9:04,Godzilla beach,Beach,0,2,0,0,0,0,0
05.01.2022,16:04,Glacier,Glacier,18,29,0,6,2,0,0
05.01.2022,16:04,Glacier beach,Beach,10,1,1,0,0,0,0
05.01.2022,16:04,Godzilla beach,Beach,2,15,2,0,0,0,0
08.01.2022,10:12,Glacier,Glacier,21,48,0,29,0,0,0
08.01.2022,10:12,Glacier beach,Beach,3,2,0,0,0,0,0
08.01.2022,10:12,Godzilla beach,Beach,1,15,0,0,0,0,1
